Date,Open,High,Low,Close,Adj Close,Volume
2024-08-21,4255.70,4299.02,4249.24,4294.90,4294.90,154590000
2024-08-20,4238.35,4255.42,4230.53,4254.87,4254.87,121400000
2024-08-19,4243.96,4246.66,4214.29,4237.52,4237.52,72210000
2024-08-15,4213.42,4228.07,4207.01,4218.68,4218.68,138640000
2024-08-14,4187.81,4213.72,4186.09,4213.42,4213.42,79930000
2024-08-13,4202.10,4205.95,4177.08,4184.50,4184.50,114340000
2024-08-12,4195.15,4214.04,4195.12,4201.27,4201.27,77040000
2024-08-08,4196.01,4206.05,4172.96,4195.94,4195.94,147760000
2024-08-07,4137.32,4225.31,4137.22,4197.67,4197.67,203940000
2024-08-06,4047.55,4150.88,4046.19,4137.32,4137.32,308180000
2024-08-05,4230.67,4230.67,4035.27,4045.90,4045.90,348180000
2024-08-01,4268.05,4294.55,4259.65,4279.89,4279.89,245130000
2024-07-31,4284.01,4295.11,4260.20,4268.05,4268.05,214550000
2024-07-30,4310.97,4313.93,4273.18,4284.01,4284.01,274000000
2024-07-29,4280.34,4314.14,4275.48,4308.49,4308.49,327040000
2024-07-25,4227.82,4239.44,4199.98,4237.65,4237.65,199650000
2024-07-24,4216.15,4233.44,4208.84,4228.65,4228.65,175000000
2024-07-23,4179.00,4216.46,4173.21,4216.15,4216.15,345290000
2024-07-22,4180.97,4182.79,4164.72,4179.00,4179.00,202280000
2024-07-18,4132.78,4169.97,4130.25,4169.17,4169.17,297810000
2024-07-17,4112.14,4133.21,4109.04,4131.96,4131.96,191520000
2024-07-16,4116.20,4125.79,4106.26,4096.64,4096.64,161230000
2024-07-15,4105.58,4116.49,4092.74,4114.55,4114.55,175360000
2024-07-11,4081.04,4093.97,4080.37,4090.98,4090.98,96670000
2024-07-10,4079.94,4098.47,4073.42,4080.22,4080.22,97440000
2024-07-09,4082.79,4091.41,4071.36,4078.29,4078.29,99940000
2024-07-08,4070.24,4089.18,4070.24,4081.96,4081.96,152230000
2024-07-04,4080.87,4086.49,4057.98,4065.82,4065.82,131000000
2024-07-03,4064.90,4089.29,4064.44,4079.21,4079.21,198110000
2024-07-02,4057.87,4085.05,4057.41,4063.25,4063.25,176300000
2024-07-01,4032.48,4057.04,4026.71,4057.04,4057.04,143070000
2024-06-27,4006.89,4010.95,3988.78,4008.96,4008.96,197240000
2024-06-26,3998.82,4012.09,3995.35,4006.07,4006.07,279770000
2024-06-25,4001.07,4008.41,3987.77,3998.82,3998.82,268960000
2024-06-24,4013.84,4015.74,3986.59,4000.25,4000.25,347230000
2024-06-20,3989.88,4003.27,3974.60,3986.63,3986.63,91100000
2024-06-19,3983.78,3998.72,3973.15,3988.22,3988.22,54110000
2024-06-13,3980.84,3988.50,3965.27,3980.11,3980.11,56330000
